elapsed_ms,current_A,event
7914.1,,Service request: command=3
7914.4,,Gripper moving to idle position...
11171.7,,Idle done. Phase took 2887 ms
11175.1,,Publishing response. Total elapsed: 2888 ms
16331.2,,Service request: command=2
16331.6,,Gripper releasing...
19310.7,,Home done. Phase took 2878 ms
19311.1,,Publishing response. Total elapsed: 2879 ms
21529.6,,Service request: command=3
21529.8,,Gripper moving to idle position...
24450.1,,Idle done. Phase took 2880 ms
24450.3,,Publishing response. Total elapsed: 2881 ms
27086.3,,Service request: command=1
27086.9,,Gripper latching...
29381.9,,Contact in latch zone at pos 26120 — latched
29382.1,,Latched
29382.1,,Latched! Phase took 1844 ms
29382.1,,Publishing response. Total elapsed: 1845 ms
31546.7,,Service request: command=3
31547.0,,Gripper moving to idle position...
33646.2,,Idle done. Phase took 1951 ms
33646.3,,Publishing response. Total elapsed: 1952 ms
36679.1,,Service request: command=2
36679.4,,Gripper releasing...
39557.1,,Home done. Phase took 2878 ms
39557.4,,Publishing response. Total elapsed: 2879 ms
42228.1,,Service request: command=3
42228.3,,Gripper moving to idle position...
45075.2,,Idle done. Phase took 2878 ms
45076.0,,Publishing response. Total elapsed: 2879 ms
47880.4,,Service request: command=1
47880.6,,Gripper latching...
49714.8,,Contact in latch zone at pos 26171 — latched
49715.0,,Latched
49715.1,,Latched! Phase took 1851 ms
49715.1,,Publishing response. Total elapsed: 1852 ms
51373.0,,Service request: command=3
51373.2,,Gripper moving to idle position...
53548.9,,Idle done. Phase took 1958 ms
53549.2,,Publishing response. Total elapsed: 1959 ms
55896.9,,Service request: command=2
55897.1,,Gripper releasing...
59153.1,,Home done. Phase took 2880 ms
59153.5,,Publishing response. Total elapsed: 2881 ms
61469.7,,Service request: command=3
61469.9,,Gripper moving to idle position...
64399.6,,Idle done. Phase took 2878 ms
64399.8,,Publishing response. Total elapsed: 2879 ms
68693.2,,Service request: command=1
68693.6,,Gripper latching...
70752.2,,Contact in latch zone at pos 26175 — latched
70752.7,,Latched
70752.7,,Latched! Phase took 1853 ms
70752.8,,Publishing response. Total elapsed: 1854 ms
76141.1,,Service request: command=3
76141.3,,Gripper moving to idle position...
78094.0,,Idle done. Phase took 1956 ms
78094.1,,Publishing response. Total elapsed: 1957 ms
94110.8,,Service request: command=2
94110.9,,Gripper releasing...
96982.6,,Home done. Phase took 2876 ms
96983.4,,Publishing response. Total elapsed: 2877 ms
104403.0,,Service request: command=3
104403.4,,Gripper moving to idle position...
107420.6,,Idle done. Phase took 2878 ms
107421.0,,Publishing response. Total elapsed: 2879 ms
111391.9,,Service request: command=1
111392.1,,Gripper latching...
113243.7,,Contact in latch zone at pos 26163 — latched
113243.9,,Latched
113244.0,,Latched! Phase took 1851 ms
113244.0,,Publishing response. Total elapsed: 1852 ms
115626.1,,Service request: command=3
115627.3,,Gripper moving to idle position...
117600.7,,Idle done. Phase took 1958 ms
117601.0,,Publishing response. Total elapsed: 1959 ms
120332.1,,Service request: command=2
120332.9,,Gripper releasing...
123208.3,,Home done. Phase took 2877 ms
123208.7,,Publishing response. Total elapsed: 2878 ms
126011.3,,Service request: command=3
126011.4,,Gripper moving to idle position...
128899.7,,Idle done. Phase took 2887 ms
128901.6,,Publishing response. Total elapsed: 2888 ms
151294.0,,Service request: command=1
151294.3,,Gripper latching...
153138.2,,Contact in latch zone at pos 26178 — latched
153147.3,,Latched
153147.5,,Latched! Phase took 1853 ms
153149.0,,Publishing response. Total elapsed: 1854 ms
157460.1,,Service request: command=3
157460.2,,Gripper moving to idle position...
159418.5,,Idle done. Phase took 1959 ms
159419.9,,Publishing response. Total elapsed: 1960 ms
172251.9,,Service request: command=2
172252.2,,Gripper releasing...
175114.5,,Home done. Phase took 2887 ms
175115.6,,Publishing response. Total elapsed: 2888 ms
177063.3,,Service request: command=3
177063.4,,Gripper moving to idle position...
179950.2,,Idle done. Phase took 2886 ms
179952.4,,Publishing response. Total elapsed: 2887 ms
182727.0,,Service request: command=1
182727.1,,Gripper latching...
184567.1,,Contact in latch zone at pos 26153 — latched
184575.9,,Latched
184577.2,,Latched! Phase took 1850 ms
184577.3,,Publishing response. Total elapsed: 1851 ms
187752.9,,Service request: command=3
187753.2,,Gripper moving to idle position...
189643.9,,Idle done. Phase took 1959 ms
189648.6,,Publishing response. Total elapsed: 1960 ms
193368.0,,Service request: command=2
193368.2,,Gripper releasing...
196108.3,,Home done. Phase took 2889 ms
196122.9,,Publishing response. Total elapsed: 2890 ms
202363.8,,Service request: command=3
202364.0,,Gripper moving to idle position...
205251.2,,Idle done. Phase took 2887 ms
205253.5,,Publishing response. Total elapsed: 2888 ms
210575.0,,Service request: command=1
210575.4,,Gripper latching...
212416.6,,Contact in latch zone at pos 26166 — latched
212429.9,,Latched
212430.1,,Latched! Phase took 1855 ms
212430.1,,Publishing response. Total elapsed: 1856 ms
214693.3,,Service request: command=3
214693.4,,Gripper moving to idle position...
216652.0,,Idle done. Phase took 1959 ms
216654.1,,Publishing response. Total elapsed: 1960 ms
221972.7,,Service request: command=2
221972.9,,Gripper releasing...
224853.3,,Home done. Phase took 2886 ms
224855.7,,Publishing response. Total elapsed: 2887 ms
