elapsed_ms,current_A,event
2930.1,,Service request: command=3
2930.2,,Gripper moving to idle position...
2940.1,0.1057,
3042.5,0.3237,
3143.4,0.3132,
3283.1,0.3102,
3347.3,0.3044,
3447.7,0.2995,
3548.2,0.3057,
3649.2,0.3030,
3750.4,0.3083,
3853.7,0.3175,
3955.6,0.3225,
4057.9,0.3243,
4158.2,0.3218,
4333.0,0.3245,
4359.8,0.3249,
4462.8,0.3358,
4563.9,0.3433,
4664.5,0.3417,
4766.0,0.3191,
4867.3,0.2845,
4968.0,0.2642,
5070.0,0.2643,
5169.8,0.2597,
5272.6,0.2611,
5380.9,0.2619,
5473.5,0.2613,
5576.7,0.2578,
5682.7,0.2611,
5778.8,0.2585,
5882.6,0.2595,
5982.3,0.2588,
6093.1,0.2556,
6195.3,0.2573,
6298.6,0.2574,
6448.0,0.2566,
6503.7,0.2544,
6589.5,0.2576,
6710.1,0.2627,
6811.9,0.2650,
6914.9,0.2613,
7017.0,0.2621,
7095.2,0.2873,
7223.9,0.3221,
7297.1,0.3394,
7477.8,0.3358,
7499.4,0.3342,
7634.5,0.3335,
7700.8,0.3323,
7803.4,0.3276,
7945.7,0.3238,
8006.8,0.3170,
8151.7,0.3197,
8209.9,0.3176,
8314.3,0.3135,
8413.1,0.3139,
