trip,step,label,command,duration_ms,success
1,1,Idle,3,6788.7,True
1,2,Latch,1,4615.9,True
1,3,Idle,3,5647.5,True
1,4,Home,2,7299.0,True
2,1,Idle,3,6785.8,True
2,2,Latch,1,4417.0,True
2,3,Idle,3,5382.6,True
2,4,Home,2,6745.6,True
3,1,Idle,3,6807.4,True
3,2,Latch,1,6687.1,True
3,3,Idle,3,5408.2,True
3,4,Home,2,6895.6,True
4,1,Idle,3,6878.2,True
4,2,Latch,1,4761.4,True
4,3,Idle,3,5412.3,True
4,4,Home,2,6875.6,True
5,1,Idle,3,6753.1,True
5,2,Latch,1,4474.6,True
5,3,Idle,3,5371.2,True
5,4,Home,2,6764.8,True
6,1,Idle,3,8765.7,True
6,2,Latch,1,6668.9,True
6,3,Idle,3,6940.1,True
6,4,Home,2,6886.1,True
7,1,Idle,3,6735.9,True
7,2,Latch,1,6436.5,True
7,3,Idle,3,6892.4,True
7,4,Home,2,6727.0,True
8,1,Idle,3,6917.3,True
8,2,Latch,1,6531.5,True
8,3,Idle,3,5592.0,True
8,4,Home,2,8664.1,True
9,1,Idle,3,6748.9,True
9,2,Latch,1,4440.1,True
9,3,Idle,3,5377.3,True
9,4,Home,2,6737.0,True
10,1,Idle,3,6724.2,True
10,2,Latch,1,4462.7,True
10,3,Idle,3,5482.4,True
10,4,Home,2,6749.4,True
